Monthly Central England precipitation (mm). Daily automated values used after 1996.
Wigley & Jones (J.Climatol.,1987), Gregory et al. (Int.J.Clim.,1991)
Jones & Conway (Int.J.Climatol.,1997), Alexander & Jones (ASL,2001). Values may change after QC.
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
 1873  51.6  32.3  52.3  21.5  59.9  61.2  61.2  66.5  54.2  60.7  45.0  12.1  578.5
 1874  34.8  40.3  22.1  29.3  33.3  27.6  28.6  52.3  69.1  57.7  67.8  51.9  514.8
 1875  58.6  31.5  16.4  24.6  39.6  79.2 159.7  50.8  71.7 123.0 121.2  32.7  809.0
 1876  48.3  64.1  69.4  86.3  23.8  55.5  49.3  49.3 114.2  48.3  82.0 126.0  816.5
 1877  80.5  60.5  58.0  80.9  52.2  37.8  82.4 104.7  74.4  44.5  62.6  48.5  787.0
 1878  46.4  33.1  20.4  39.3 112.1  61.0  22.3 138.1  53.6  65.8 116.5  50.4  759.0
 1879  36.6  66.1  19.9  59.2  83.9 109.9 103.1 112.0  71.9  27.0  38.8  19.5  747.9
 1880   6.1  49.8  38.1  44.9  36.2  87.9 157.6  50.2 105.9 142.0  54.2  70.1  843.0
 1881  19.1  77.3  48.0  24.7  29.6  47.6  55.5 120.8  59.3  72.9  58.5  70.3  683.6
 1882  49.7  39.5  40.7  80.6  48.2  87.2  78.3  63.5  63.5 144.5  89.1  99.8  884.6
 1883  60.5  73.6  33.5  45.5  44.5  83.3  83.4  27.9 126.1  69.5  83.9  37.3  769.0
 1884  54.9  28.3  36.6  41.8  25.9  25.3  81.4  45.0  46.2  39.5  38.3  55.4  518.6
 1885  44.3  61.9  28.8  49.0  68.8  62.3  14.7  61.6  91.0 135.4  76.9  22.2  716.9
 1886  73.7  12.7  52.0  43.0 110.6  25.5  90.0  47.6  38.1  90.9  55.6  96.5  736.2
 1887  52.8  16.1  36.4  30.7  47.7  21.0  27.3  39.7  53.5  61.2  47.5  32.7  466.6
 1888  23.6  40.1  61.0  42.9  21.4  50.8 137.9  67.7  31.2  20.1  90.5  44.4  631.6
 1889  26.8  42.5  59.8  72.8 102.2  20.1  71.8  73.4  71.0  87.6  26.0  38.4  692.4
 1890  62.2  22.2  49.8  23.5  61.9  61.6  65.5  59.6  23.0  37.5  93.7  16.7  577.2
 1891  43.5   3.4  33.3  37.7  84.2  50.6  75.8  98.0  32.3 118.9  57.1  83.0  717.8
 1892  31.3  43.7  24.1  35.2  56.4  83.1  62.1  58.6  64.0 125.9  37.7  30.5  652.6
 1893  43.3  63.5   8.6   7.6  40.2  36.9  83.3  52.6  32.9  51.6  62.5  48.5  531.5
 1894  40.0  44.0  23.5  41.7  52.2  66.1  86.6  56.0  36.2  70.8  72.2  55.2  644.5
 1895  79.4  10.9  47.9  36.7  18.9  34.7  81.9  71.1  14.7  71.5  70.7  46.3  584.7
 1896  24.4  17.3  67.1  23.3  13.9  54.7  41.5  43.8 105.9  86.2  33.9  82.3  594.3
 1897  47.2  70.9  57.2  38.9  26.2  61.4  21.4  83.0  71.8  29.0  41.5  49.8  598.3
 1898  23.6  24.1  34.1  46.3  72.5  44.9  28.2  72.7   9.9  63.6  48.4  50.2  518.5
 1899  59.3  40.6  25.6  54.0  58.6  37.7  41.6  26.7  76.8  72.4  43.4  47.7  584.4
 1900  79.3  91.2  17.8  26.5  37.4  70.0  43.5  94.7  14.7  60.6  55.9  84.6  676.2
 1901  25.2  33.5  44.8  48.8  25.9  47.2  66.8  47.6  28.7  49.4  47.3 101.8  567.0
 1902  23.8  33.9  32.7  39.9  69.3  56.3  42.6  88.1  32.7  59.0  39.4  36.9  554.6
 1903  46.3  19.5  68.7  48.0  71.8  55.3  83.7 106.9  78.9 140.9  48.9  27.5  796.4
 1904  49.8  73.0  42.7  25.2  47.7  14.1  67.2  77.5  46.1  21.7  32.9  45.9  543.8
 1905  22.0  24.1  56.9  45.1  24.5  69.9  31.0  80.5  46.4  46.5  67.8  19.8  534.5
 1906  83.9  54.2  40.5  21.4  46.7  74.2  19.4  44.9  26.5 103.4  86.6  60.9  662.6
 1907  26.9  36.1  29.1  54.6  85.6  55.6  50.8  54.6  16.9  97.4  56.8  66.5  630.9
 1908  24.9  38.8  61.3  67.3  45.3  37.7  72.7  65.4  46.2  32.4  30.8  42.8  565.6
 1909  23.3  14.8  74.0  38.4  35.4  81.8  87.0  73.2  60.2  84.2  18.0 101.8  692.1
 1910  47.0  57.1  16.0  47.7  60.7  39.4  72.8  74.0  22.9  53.8  89.1 114.3  694.8
 1911  32.2  31.0  46.1  23.9  25.9  72.1   9.8  42.9  45.3  57.2  70.2 102.8  559.4
 1912  85.9  34.0  67.2   5.6  51.4  93.8  86.4 174.1  40.2  59.9  63.2  67.5  829.2
 1913  82.1  20.1  75.0  60.3  50.0  25.0  29.8  33.8  47.9  88.4  57.5  22.1  592.0
 1914  38.3  33.3  70.0  21.9  37.0  57.7  67.8  41.6  24.2  56.2  70.3 137.4  655.7
 1915  69.3  69.0  33.0  19.8  47.6  23.5 125.1  65.5  30.8  38.6  66.0 111.6  699.8
 1916  29.3 101.3  98.8  34.0  59.5  60.9  43.3  63.0  31.2  59.7  73.0  70.1  724.1
 1917  55.0  23.2  48.3  41.7  42.3  47.8  51.4 112.7  40.2  81.0  35.8  27.0  606.4
 1918  53.9  33.4  23.2  60.8  55.0  18.9  76.7  46.7 121.5  43.9  47.7  77.6  659.3
 1919  82.0  69.9  84.8  55.2  23.1  28.0  64.3  57.7  37.3  58.5  53.2  96.8  710.8
 1920  65.2  29.8  51.4 101.3  62.0  56.2 101.9  37.1  51.8  36.5  22.4  65.5  681.1
 1921  54.2   8.4  25.6  31.8  35.9  13.0  14.2  61.2  26.6  42.5  48.8  46.1  408.3
 1922  90.7  60.4  47.4  61.3  25.8  23.0 131.1  84.1  61.9  24.2  33.0  70.2  713.1
 1923  40.9  99.3  42.1  42.0  48.6  16.5  77.9  63.1  63.7  81.8  60.5  82.6  719.0
 1924  63.1  27.2  20.1  52.9  93.8  48.8  81.8  69.1  74.6 103.7  48.8  64.1  748.0
 1925  35.7  63.8  28.1  49.3  62.1   5.8  54.3  54.0  77.1  69.5  56.4  57.0  613.1
 1926  67.7  49.6  12.6  54.0  58.8  63.8  45.8  42.2  39.5  64.0  86.2  19.8  604.0
 1927  50.1  54.8  53.6  47.0  25.8  96.6  67.1  94.3 107.7  55.0  81.3  63.9  797.2
 1928  95.1  43.2  48.0  28.2  36.2  70.4  42.3  65.6  16.7  94.7  72.9  56.7  670.0
 1929  41.5  17.1   3.4  31.3  39.5  30.3  57.3  40.5  17.5  77.6 120.3 111.5  587.8
 1930  69.0  16.8  52.1  62.0  62.5  24.4 102.8  59.7  97.5  42.6  86.1  56.3  731.8
 1931  47.8  63.3   7.7  86.4  80.9  65.6  92.8  88.5  78.0  19.1  63.6  26.0  719.7
 1932  32.2  12.7  41.3  74.7 119.3  15.4  89.0  53.2  53.7  87.2  44.8  17.2  640.6
 1933  34.0  64.2  57.3  27.9  43.3  52.0  41.1  20.1  46.4  81.3  43.4  11.6  522.5
 1934  41.1  17.9  40.3  57.5  26.2  30.6  40.4  52.7  47.2  39.8  52.5  99.9  546.2
 1935  43.3  58.9  15.1  75.1  19.5  73.2  14.9  41.7  99.8  75.1 105.8  64.6  687.1
 1936  79.6  53.9  28.6  45.7  29.0  89.2 127.9  19.5  69.8  47.0  61.5  44.9  696.6
 1937  85.0  80.0  69.0  71.7  79.1  32.0  66.8  23.3  44.8  58.6  45.0  75.0  730.3
 1938  65.7  20.7   7.8   6.0  51.3  31.7  62.6  61.8  54.9  65.3  60.5  87.0  575.3
 1939 122.6  20.9  47.0  51.8  27.6  52.1  72.4  77.7  27.2 111.3  94.0  45.1  749.7
 1940  52.1  56.3  53.1  47.1  37.7  17.0  88.9  10.9  20.1  82.8 143.4  44.0  653.3
 1941  72.8  59.5  78.9  29.1  54.4  22.7  81.7  96.9  14.8  64.6  68.3  23.2  666.8
 1942  72.7  29.4  38.7  25.0  69.5  22.0  61.3  45.9  36.1  63.3  44.6  56.3  564.9
 1943  98.2  17.6  15.5  23.3  57.3  46.8  25.8  52.1  57.8  41.5  51.8  26.9  514.5
 1944  52.4  44.1  10.3  50.3  30.0  47.1  56.7  71.5  83.5  71.0  92.9  33.2  643.0
 1945  57.2  43.8  23.3  33.3  55.4  57.6  47.8  65.9  48.9  77.6  14.0  57.6  582.4
 1946  46.2  59.9  28.0  31.1  42.2  70.8  71.1 100.5  81.3  33.9 120.1  59.9  745.0
 1947  48.6  50.2 119.5  45.7  26.6  46.5  55.0   8.3  27.9   8.3  36.3  55.5  528.3
 1948 107.4  29.5  17.2  39.0  65.2  70.0  34.7  95.2  55.3  57.4  31.5  62.8  665.2
 1949  29.1  19.6  31.5  48.1  54.0  14.7  58.9  38.6  29.2 100.2  70.8  44.6  539.2
 1950  23.9  94.2  20.0  56.0  58.0  42.8  89.9  72.7  74.9  20.0 108.3  45.2  705.9
 1951  61.6  71.9  87.9  60.5  79.6  30.8  34.0 110.4  40.6  26.1 112.1  43.4  758.8
 1952  47.0  17.2  66.2  39.4  57.1  46.8  22.0  63.9  62.9  66.9  72.9  53.9  616.2
 1953  24.6  42.8  20.5  53.8  46.9  72.4  57.0  66.4  37.9  54.8  39.4  23.8  540.2
 1954  35.7  55.3  50.0   7.9  72.5  62.3  59.5 112.6  54.3  67.2 106.9  55.8  740.1
 1955  52.3  53.4  55.4  21.7  86.7  65.0  21.4  22.6  40.3  59.6  33.0  51.3  562.7
 1956  97.6  28.7  21.6  34.3  18.6  70.2  80.4 131.6  44.6  38.9  22.8  58.2  647.5
